epoch;acc;loss;val_acc;val_loss

1;0.16296000001;4.42561998253;0.1097;4.79837161102

2;0.28688;2.85385364304;0.2054;2.88763920937

3;0.363440000019;2.30865853539;0.3384;2.33266981773

4;0.43877999999;1.94709448135;0.3335;2.36715264549

5;0.510140000019;1.67763933575;0.4508;1.80083568478

6;0.5735;1.45361163784;0.4661;1.93035529938

7;0.633040000114;1.27047556339;0.5399;1.52714899788

8;0.676880000038;1.133900257;0.5955;1.37733527737

9;0.713340000057;1.0325337788;0.5855;1.46842903175

10;0.73244;0.967153966637;0.6547;1.19664227352

11;0.754660000038;0.905626257973;0.5597;1.56271629219

12;0.77146;0.863538178577;0.588;1.33546708641

13;0.78048;0.832652758732;0.5308;2.16387851696

14;0.788360000076;0.806666691799;0.5059;1.65595105476

15;0.797780000114;0.779338729057;0.7211;1.04472572994

16;0.805279999943;0.76070961834;0.7074;1.04854699554

17;0.810200000076;0.73868611887;0.7862;0.830455657196

18;0.821220000019;0.71241015934;0.7234;1.09981385384

19;0.823200000057;0.702048259773;0.7943;0.803921082687

20;0.829360000114;0.689828477879;0.6876;1.1462212676

21;0.833180000038;0.671790692673;0.7138;1.10714557705

22;0.839320000095;0.656848465118;0.7732;0.881563416958

23;0.841020000038;0.648449615402;0.8106;0.740582814026

24;0.843700000076;0.642043173981;0.7512;0.925641405487

25;0.849660000019;0.62752650526;0.8024;0.793187600327

26;0.852700000038;0.618273637505;0.7553;0.94208531723

27;0.854100000095;0.608917437916;0.7966;0.805399869394

28;0.858340000114;0.596467936058;0.7691;0.885142846489

29;0.861080000076;0.591207893066;0.7948;0.818303482819

30;0.864620000134;0.58301610445;0.6792;1.31470694818

31;0.865840000114;0.573462008209;0.7871;0.815832933998

32;0.868280000038;0.567854704494;0.7736;0.871555445194

33;0.870619999981;0.560355606594;0.7924;0.822945436096

34;0.870740000057;0.558415243702;0.7723;0.919590434265

35;0.874040000019;0.547297187281;0.8365;0.68431270237

36;0.877120000038;0.542933170376;0.8263;0.719377657986

37;0.879260000038;0.534493631868;0.824;0.716092985535

38;0.881900000038;0.525696976566;0.7681;0.958520224285

39;0.883039999981;0.524497937269;0.789;0.820193807888

40;0.884920000095;0.51684227293;0.7571;0.970269005775

41;0.885920000038;0.511372037449;0.8173;0.742311433887

42;0.887880000038;0.506129677448;0.7558;0.989662043953

43;0.889720000038;0.502725306444;0.8213;0.70717290473

44;0.890659999981;0.494739792891;0.7951;0.833334148788

45;0.893400000019;0.490832668438;0.8092;0.826207415009

46;0.89584;0.482511339569;0.7974;0.817579710674

0;0.716640000057;1.11860464241;0.5373;1.80861711235

1;0.784920000019;0.943434198742;0.4114;3.29097875786

2;0.802620000038;0.890471415577;0.7143;1.16738054399

3;0.818040000057;0.840088469181;0.6415;1.39777650242

4;0.825080000057;0.812172279415;0.7483;1.06877108421

5;0.832740000038;0.778009952774;0.7965;0.900822338295

6;0.838620000019;0.754934613781;0.6996;1.27247890549

7;0.845140000057;0.730502351723;0.7315;1.03819923286

8;0.850260000057;0.709355597515;0.7515;0.987908991623

9;0.854040000038;0.690169051857;0.7146;1.24633816643

10;0.858140000153;0.672195058289;0.6906;1.27621208782

11;0.861660000076;0.658992016468;0.7306;1.06570608635

12;0.866120000095;0.642356451664;0.7735;0.964396727753

13;0.86918;0.628779634209;0.7285;1.20775682144

14;0.8719;0.619242074013;0.7528;1.0762445076

15;0.873680000057;0.606664718781;0.7846;0.891876390076

16;0.875900000019;0.598498590317;0.7748;0.904274143314

17;0.8781;0.584556728611;0.6787;1.43561862869

18;0.879900000038;0.576476083994;0.8158;0.808873695374

19;0.882020000153;0.56768517498;0.7731;1.01948580055

20;0.88532;0.556642438412;0.8166;0.804972960854

21;0.887620000038;0.549649080563;0.7692;0.981066367912

22;0.890060000076;0.539116292286;0.8267;0.760713554764

23;0.890320000019;0.534943639164;0.7572;0.945469760656

24;0.89194;0.529839515514;0.819;0.761438854218

25;0.895200000038;0.517974096956;0.74;1.00253003311

26;0.8955;0.512833880825;0.7932;0.88067717762

27;0.899340000095;0.506654097538;0.7482;1.14749026337

28;0.899179999962;0.500060194101;0.8189;0.779365385532

29;0.899400000095;0.499342362404;0.854;0.648751308346

30;0.90308;0.485379359703;0.8323;0.70992145834

31;0.904620000038;0.479771821194;0.8087;0.789674355459

32;0.90526;0.474586773758;0.8045;0.850751490879

33;0.908100000038;0.467131792278;0.8707;0.596663951683

34;0.907560000019;0.466486509514;0.8497;0.696595084286

35;0.908900000057;0.464188620415;0.8062;0.80144088707

36;0.910360000057;0.458715531721;0.855;0.653716628075

37;0.911760000057;0.452329383335;0.8191;0.820958901882

38;0.912840000019;0.450172906179;0.7612;1.04939122047

39;0.914040000076;0.443647410345;0.8584;0.626316636658

40;0.911899999981;0.442449555206;0.8424;0.679075487518

41;0.913480000057;0.438851409035;0.8283;0.750052565384

42;0.915960000057;0.432806575451;0.8135;0.776187307835

43;0.9165;0.429004246597;0.7957;0.928000689602

44;0.920100000057;0.419340097923;0.8458;0.717399545431

45;0.918280000153;0.419758565731;0.8587;0.629620498371

46;0.921099999962;0.416694516716;0.8795;0.559639958096

47;0.920400000019;0.412448404808;0.8101;0.863980501556

48;0.922180000076;0.409666074047;0.8261;0.741228878975

49;0.921819999943;0.410560819454;0.8203;0.767195269394

50;0.925579999943;0.398081538153;0.7326;1.15041821737

51;0.923919999943;0.40041420187;0.8522;0.618989493465

52;0.926;0.398631030216;0.8665;0.593048364544

53;0.927020000057;0.39081480485;0.7687;1.00965376244

54;0.925880000038;0.393047295084;0.8275;0.737491042137

55;0.924400000019;0.392651341295;0.8439;0.67573801775

56;0.929440000038;0.382954717436;0.8137;0.842894244957

